squid,tn,fp,tp,fn,accuracy,precision,recall,f1
squid_S00118,0.3,0.7,6,0.3,0.863013699,0.895522388,0.952380952,0.923076923
squid_S2696,0.4,1.5,12.8,0.7,0.857142857,0.895104895,0.948148148,0.920863309
squid_S2184,8.4,0.4,0.4,1.1,0.854368932,0.5,0.266666667,0.347826087
squid_EmptyStatementUsageCheck,7.3,0.1,0.1,1.2,0.850574713,0.5,0.076923077,0.133333333
squid_S1143,0.5,0.3,2.8,0.3,0.846153846,0.903225806,0.903225806,0.903225806
squid_S1871,2.5,0.1,0,0.3,0.862068966,0,0,NaN
squid_S2209,0.5,0.1,0.8,0.1,0.866666667,0.888888889,0.888888889,0.888888889
squid_S1171,0,0.2,1.3,0,0.866666667,0.866666667,1,0.928571429
squid_SwitchLastCaseIsDefaultCheck,4.8,0,0,0.8,0.857142857,NaN,0,NaN
squid_S00115,39.4,5.1,18,6.1,0.836734694,0.779220779,0.746887967,0.762711864
squid_S1444,31.9,0.9,3,6,0.83492823,0.769230769,0.333333333,0.465116279
squid_S1640,1.333333333,0,0,0.333333333,0.8,NaN,0,NaN
squid_S1602,6,0.2,0.2,1.1,0.826666667,0.5,0.153846154,0.235294118
squid_CommentedOutCodeLine,63.1,2.3,1.4,12.1,0.817490494,0.378378378,0.103703704,0.162790698
squid_S1141,0,0.8,3.4,0,0.80952381,0.80952381,1,0.894736842
squid_S1609,3.8,0.6,1.1,0.6,0.803278689,0.647058824,0.647058824,0.647058824
squid_S1610,2.6,0.2,0.8,0.6,0.80952381,0.8,0.571428571,0.666666667
squid_S2447,0,0.2,1.6,0.2,0.8,0.888888889,0.888888889,0.888888889
squid_S2272,1.5,0.1,0,0.3,0.789473684,0,0,NaN
squid_S2446,0.8,0,0.4,0.2,0.857142857,1,0.666666667,0.8
squid_S2160,0,0.2,0.8,0,0.8,0.8,1,0.888888889
squid_S2737,0,0.2,0.8,0,0.8,0.8,1,0.888888889
squid_S3551,0,0.2,0.8,0,0.8,0.8,1,0.888888889
squid_AssignmentInSubExpressionCheck,12.7,1,2,2.8,0.794594595,0.666666667,0.416666667,0.512820513
squid_ForLoopCounterChangedCheck,6.7,0.3,0.6,1.6,0.793478261,0.666666667,0.272727273,0.387096774
squid_S1151,8.5,0.7,1.6,2,0.7890625,0.695652174,0.444444444,0.542372881
squid_S1943,20.8,1,1.2,5.1,0.782918149,0.545454545,0.19047619,0.282352941
squid_S1185,1.2,1.6,7.1,0.7,0.783018868,0.816091954,0.91025641,0.860606061
squid_S2142,0.8,4.4,19.4,1.4,0.776923077,0.81512605,0.932692308,0.869955157
squid_S1192,112,6.3,8.9,29.2,0.773017903,0.585526316,0.233595801,0.333958724
squid_S3599,0.4,0.2,0.6,0.4,0.625,0.75,0.6,0.666666667
squid_S1301,3.6,0.2,0,0.9,0.765957447,0,0,NaN
squid_S1172,0.2,2.5,9.8,0.6,0.763358779,0.796747967,0.942307692,0.863436123
squid_S00100,4.9,2.4,10.5,2.4,0.762376238,0.813953488,0.813953488,0.813953488
squid_S1168,1.6,2.7,11.2,1.3,0.761904762,0.805755396,0.896,0.848484848
squid_S1481,14.6,1.7,3.5,4,0.760504202,0.673076923,0.466666667,0.551181102
squid_S2386,0.1,1.6,6.2,0.4,0.759036145,0.794871795,0.939393939,0.861111111
squid_S1312,22.4,4.7,11.2,5.9,0.760180995,0.704402516,0.65497076,0.678787879
squid_S00120,0.7,0.1,0.4,0.3,0.733333333,0.8,0.571428571,0.666666667
squid_S2676,1,0,0,0.333333333,0.75,NaN,0,NaN
squid_S2112,0,0.2,1,0.1,0.769230769,0.833333333,0.909090909,0.869565217
squid_S1860,0.75,0,0,0.25,0.75,NaN,0,NaN
squid_S2235,0,0.25,0.75,0,0.75,0.75,1,0.857142857
squid_S1165,1.3,0.9,3.1,0.6,0.745762712,0.775,0.837837838,0.805194805
squid_S1948,0.3,1.5,6.3,0.8,0.741573034,0.807692308,0.887323944,0.845637584
squid_S1068,16.1,4.8,11,4.7,0.740437158,0.696202532,0.700636943,0.698412698
squid_RedundantThrowsDeclarationCheck,3,1.1,4.4,1.6,0.732673267,0.8,0.733333333,0.765217391
squid_S1612,0,0.4,2,0.2,0.769230769,0.833333333,0.909090909,0.869565217
squid_S00119,3,0.9,3,1.3,0.731707317,0.769230769,0.697674419,0.731707317
squid_S134,1.6,4.1,15.1,2.1,0.729257642,0.786458333,0.877906977,0.82967033
squid_S00116,28.1,5.8,14.2,10.1,0.726804124,0.71,0.58436214,0.641083521
squid_S1699,0.9,0.4,1.1,0.3,0.740740741,0.733333333,0.785714286,0.75862069
squid_S1845,1.4,0.6,1.6,0.6,0.714285714,0.727272727,0.727272727,0.727272727
squid_ClassVariableVisibilityCheck,9.9,9.2,26.2,5.2,0.714851485,0.740112994,0.834394904,0.784431138
squid_S1700,0.4,1,3.4,0.6,0.703703704,0.772727273,0.85,0.80952381
squid_S881,2.5,0.7,1.2,0.8,0.711538462,0.631578947,0.6,0.615384615
squid_S2159,0.4,0.2,0.6,0.2,0.714285714,0.75,0.75,0.75
squid_S1244,4.6,0.5,0.7,1.9,0.688311688,0.583333333,0.269230769,0.368421053
squid_S1148,6.5,3.6,8.6,3.2,0.689497717,0.704918033,0.728813559,0.716666667
squid_S2259,14.9,1.9,2.9,6.3,0.684615385,0.604166667,0.315217391,0.414285714
squid_S1193,0,0.7,1.9,0.2,0.678571429,0.730769231,0.904761905,0.808510638
squid_S3010,0,0.4,1.6,0.3,0.695652174,0.8,0.842105263,0.820512821
squid_S106,28.2,29.5,70.8,17.9,0.676229508,0.705882353,0.798196167,0.749206349
squid_S2147,5.3,0.8,0.9,2.2,0.673913043,0.529411765,0.290322581,0.375
squid_UnusedPrivateMethod,0.4,0.7,1.6,0.4,0.64516129,0.695652174,0.8,0.744186047
squid_S3400,0.7,0.3,0.4,0.2,0.6875,0.571428571,0.666666667,0.615384615
squid_S2326,0,0.4,0.8,0.3,0.533333333,0.666666667,0.727272727,0.695652174
squid_S1872,0,0.4,0.8,0.1,0.615384615,0.666666667,0.888888889,0.761904762
squid_S2583,0.5,0.9,1.9,0.4,0.648648649,0.678571429,0.826086957,0.745098039
squid_S1186,2.5,3,5.1,1.8,0.612903226,0.62962963,0.739130435,0.68
squid_S1940,0,0.2,1,0.2,0.714285714,0.833333333,0.833333333,0.833333333
squid_S3008,2,3.2,5.3,2.2,0.57480315,0.623529412,0.706666667,0.6625
squid_S1643,1.4,1.2,1.4,1,0.56,0.538461538,0.583333333,0.56
squid_S1764,0.7,0.2,0,0.4,0.538461538,0,0,NaN
squid_S3398,0.9,0.4,0.2,0.6,0.523809524,0.333333333,0.25,0.285714286
squid_S3985,0,0.333333333,0.333333333,0.666666667,0.25,0.5,0.333333333,0.4
squid_S2175,0.333333333,0.333333333,0,0.666666667,0.25,0,0,NaN
squid_S1210,0,0.666666667,0,0.666666667,0,0,0,NaN
squid_S00114,0,0.5,0,0.5,0,0,0,NaN
squid_S3864,0,0.5,0,0.5,0,0,0,NaN
